,x,y,z,idx
565,41.0,55.11616,10.0,0
566,42.0,55.0,10.686337,0
567,43.0,55.0,10.790352,0
568,44.0,55.0,10.668029,0
569,45.0,55.0,10.575262,0
570,46.0,55.0,10.534757,0
571,47.0,55.0,10.528956,0
572,48.0,55.0,10.558502,0
573,49.0,55.0,10.626192,0
574,50.0,55.0,10.660881,0
575,51.0,55.0,10.653578,0
576,52.0,55.0,10.675989,0
577,53.0,55.0,10.764065,0
578,24.0,56.0,10.898696,0
579,25.0,56.0,10.654501,0
580,26.0,56.0,10.558166,0
581,27.817068,56.0,10.0,0
582,27.0,56.0,10.547717,0
583,32.250156,56.0,10.0,0
584,32.0,56.250156,10.0,0
585,33.0,56.0,10.635643,0
586,34.0,56.0,10.614427,0
587,35.868645,56.0,10.0,0
588,35.0,56.0,10.526552,0
589,36.0,56.131355,10.0,0
590,37.0,56.226368,10.0,0
591,38.0,56.25157,10.0,0
592,39.0,56.221817,10.0,0
593,40.08953,56.0,10.0,0
594,40.0,56.08953,10.0,0
595,41.0,56.0,10.6291685,0
596,42.0,56.0,10.751464,0
597,43.0,56.0,10.678133,0
598,44.0,56.0,10.583718,0
599,45.0,56.0,10.545782,0
600,46.0,56.0,10.523773,0
601,47.0,56.0,10.519176,0
602,48.0,56.0,10.536511,0
603,49.0,56.0,10.597777,0
604,50.0,56.0,10.714935,0
605,51.0,56.0,10.798296,0
606,52.0,56.0,10.852136,0
607,25.0,57.0,10.716409,0
608,26.0,57.0,10.593185,0
609,27.91708,57.0,10.0,0
610,27.0,57.0,10.550102,0
611,28.0,57.08292,10.0,0
612,29.0,57.18245,10.0,0
613,30.0,57.24568,10.0,0
614,31.211443,57.0,10.0,0
615,31.0,57.21144,10.0,0
616,32.0,57.0,10.571595,0
617,33.0,57.0,10.697357,0
618,34.0,57.0,10.623943,0
619,35.0,57.0,10.54301,0
620,36.0,57.0,10.510218,0
621,37.0,57.0,10.495749,0
622,38.0,57.0,10.498148,0
623,39.0,57.0,10.526053,0
624,40.0,57.0,10.615243,0
625,41.0,57.0,10.743624,0
626,42.0,57.0,10.685153,0
627,43.0,57.0,10.575381,0
628,44.0,57.0,10.5249605,0
629,45.0,57.0,10.507887,0
630,46.0,57.0,10.503563,0
631,47.0,57.0,10.506499,0
632,48.0,57.0,10.520635,0
633,49.0,57.0,10.558951,0
634,50.0,57.0,10.658221,0
635,51.0,57.0,10.818512,0
636,25.0,58.0,10.850051,0
637,26.0,58.0,10.66835,0
638,27.0,58.0,10.583228,0
639,28.0,58.0,10.554603,0
640,29.0,58.0,10.5461035,0
641,30.0,58.0,10.537861,0
642,31.0,58.0,10.562003,0
643,32.0,58.0,10.671904,0
644,33.0,58.0,10.791477,0
645,34.0,58.0,10.6838045,0
646,35.0,58.0,10.594454,0
647,36.0,58.0,10.55174,0
648,37.0,58.0,10.54016,0
649,38.0,58.0,10.556713,0
650,39.0,58.0,10.629882,0
651,40.0,58.0,10.7685,0
652,41.0,58.0,10.76051,0
653,42.0,58.0,10.618115,0
654,43.0,58.0,10.543434,0
655,44.0,58.0,10.515421,0
656,45.0,58.0,10.506592,0
657,46.0,58.0,10.506776,0
658,47.0,58.0,10.511344,0
659,48.0,58.0,10.528052,0
660,49.0,58.0,10.567279,0
661,50.0,58.0,10.653731,0
662,51.0,58.0,10.817789,0
663,26.0,59.0,10.822144,0
664,27.0,59.0,10.670445,0
665,28.0,59.0,10.607577,0
666,29.0,59.0,10.590037,0
667,30.0,59.0,10.6001005,0
668,31.0,59.0,10.6645155,0
669,32.0,59.0,10.850311,0
670,33.0,59.0,10.969876,0
671,34.0,59.0,10.817549,0
672,35.0,59.0,10.692321,0
673,36.0,59.0,10.633326,0
674,37.0,59.0,10.626051,0
675,38.0,59.0,10.682462,0
676,39.0,59.0,10.821172,0
677,40.0,59.0,10.902196,0
678,41.0,59.0,10.762807,0
679,42.0,59.0,10.615651,0
680,43.0,59.0,10.556936,0
681,44.0,59.0,10.536511,0
682,45.0,59.0,10.5313835,0
683,46.0,59.0,10.539322,0
684,47.0,59.0,10.551521,0
685,48.0,59.0,10.577773,0
686,49.0,59.0,10.633326,0
687,50.0,59.0,10.748429,0
688,27.0,60.0,10.851092,0
689,28.0,60.0,10.742631,0
690,29.0,60.0,10.715302,0
691,30.0,60.0,10.76596,0
692,31.0,60.0,10.92042,0
693,35.0,60.0,10.8779745,0
694,36.0,60.0,10.793963,0
695,37.0,60.0,10.795326,0
696,38.0,60.0,10.909576,0
697,41.0,60.0,10.836242,0
698,42.0,60.0,10.683973,0
699,43.0,60.0,10.621155,0
700,44.0,60.0,10.593059,0
701,45.0,60.0,10.584824,0
702,46.0,60.0,10.60036,0
703,47.0,60.0,10.632318,0
704,48.0,60.0,10.684141,0
705,49.0,60.0,10.777747,0
706,42.0,61.0,10.8566,0
707,43.0,61.0,10.783888,0
708,44.0,61.0,10.744421,0
709,45.0,61.0,10.72938,0
710,46.0,61.0,10.753501,0
711,47.0,61.0,10.817549,0
712,36.0,35.0,11.890919,0
713,37.0,35.0,11.851092,0
714,38.0,35.0,11.888356,0
715,32.0,36.0,11.818753,0
716,33.0,36.0,11.736726,0
717,34.0,36.0,11.697883,0
718,35.0,36.0,11.660725,0
719,36.0,36.0,11.630024,0
720,37.0,36.0,11.61647,0
721,38.0,36.0,11.641955,0
722,39.0,36.0,11.678795,0
723,40.0,36.0,11.689744,0
724,41.0,36.0,11.744421,0
725,42.0,36.0,11.851092,0
726,30.0,37.0,11.812768,0
727,31.0,37.0,11.728424,0
728,32.0,37.0,11.6339035,0
729,33.0,37.858185,11.0,0
730,33.0,37.0,11.580306,0
731,34.0,37.783226,11.0,0
732,34.0,37.0,11.566701,0
733,35.0,37.74263,11.0,0
734,35.0,37.0,11.550211,0
735,36.0,37.717335,11.0,0
736,36.0,37.0,11.539532,0
737,37.0,37.729187,11.0,0
738,37.0,37.0,11.540896,0
739,38.0,37.807106,11.0,0
740,38.0,37.0,11.56809,0
741,39.0,37.861645,11.0,0
742,39.0,37.0,11.5911665,0
743,40.0,37.868645,11.0,0
744,40.0,37.0,11.578013,0
745,41.0,37.920418,11.0,0
746,41.0,37.0,11.589662,0
747,42.0,37.0,11.633759,0
748,43.0,37.0,11.743028,0
749,44.0,37.0,11.799214,0
750,45.0,37.0,11.775793,0
751,46.0,37.0,11.796695,0
752,47.0,37.0,11.848753,0
753,29.0,38.0,11.7118225,0
754,30.0,38.0,11.622964,0
755,31.0,38.916172,11.0,0
756,31.0,38.0,11.609176,0
757,32.858185,38.0,11.0,0
758,32.0,38.75699,11.0,0
759,32.0,38.0,11.557159,0
760,41.079582,38.0,11.0,0
761,42.0,38.788113,11.0,0
762,42.0,38.0,11.53995,0
763,43.0,38.0,11.620046,0
764,44.0,38.0,11.623943,0
765,45.0,38.0,11.59509,0
766,46.0,38.0,11.61105,0
767,47.0,38.0,11.650976,0
768,48.0,38.0,11.714567,0
769,49.0,38.0,11.801981,0
770,50.0,38.0,11.923477,0
771,28.0,39.0,11.706037,0
772,29.0,39.0,11.592175,0
773,30.916172,39.0,11.0,0
774,30.0,39.78878,11.0,0
775,30.0,39.0,11.5499935,0
776,42.211887,39.0,11.0,0
777,43.0,39.81779,11.0,0
778,43.0,39.0,11.571125,0
779,44.0,39.848495,11.0,0
780,44.0,39.0,11.549016,0
781,45.0,39.8844,11.0,0
782,45.0,39.0,11.5290575,0
783,46.0,39.0,11.538695,0
784,47.0,39.0,11.56809,0
785,48.0,39.0,11.623943,0
786,49.0,39.0,11.68431,0
787,50.0,39.0,11.728233,0
788,51.0,39.0,11.771701,0
789,52.0,39.0,11.834986,0
790,27.0,40.0,11.731684,0
791,28.0,40.0,11.594072,0
792,29.788782,40.0,11.0,0
793,29.0,40.759056,11.0,0
794,29.0,40.0,11.541951,0
795,45.1156,40.0,11.0,0
796,46.0,40.790577,11.0,0
797,46.0,40.0,11.5222,0
798,47.0,40.821415,11.0,0
799,47.0,40.0,11.548691,0
800,48.0,40.827774,11.0,0
801,48.0,40.0,11.57562,0
802,49.0,40.86191,11.0,0
803,49.0,40.0,11.571125,0
804,50.0,40.0,11.570305,0
805,51.0,40.0,11.585686,0
806,52.0,40.0,11.624644,0
807,53.0,40.0,11.691631,0
808,54.0,40.0,11.819961,0
809,26.0,41.0,11.886656,0
810,27.0,41.0,11.5942,0
811,28.759056,41.0,11.0,0
812,28.0,41.735947,11.0,0
813,28.0,41.0,11.529763,0
814,49.13809,41.0,11.0,0
815,50.0,41.760303,11.0,0
816,50.0,41.0,11.506314,0
817,51.0,41.833485,11.0,0
818,51.0,41.0,11.514467,0
